,location,total_sqft,bath,price,bhk
4448,other,1200.0,2.0,68.0,3
4468,other,1150.0,2.0,49.0,2
4469,other,2000.0,4.0,180.0,5
4493,other,1096.0,2.0,48.0,2
4495,other,1094.0,2.0,44.0,2
4496,other,1100.0,2.0,49.0,2
4503,other,1280.0,4.0,115.0,4
4517,other,720.0,4.0,62.0,5
4525,other,1200.0,3.0,85.0,3
4527,other,1086.0,2.0,47.5,2
4533,other,1150.0,2.0,74.0,2
4535,other,1440.0,3.0,65.8,3
4536,other,1200.0,2.0,108.0,3
4537,other,1200.0,2.0,75.0,2
4555,other,1225.0,3.0,60.0,3
4560,other,1550.0,2.0,60.0,3
4562,other,1650.0,3.0,75.0,3
4563,other,1113.0,2.0,46.0,2
4571,other,1800.0,2.0,72.0,3
4575,other,1350.0,4.0,85.0,4
4593,other,2500.0,5.0,120.0,5
4610,other,1140.0,2.0,52.0,2
4611,other,1050.0,2.0,40.0,2
4631,other,1758.0,3.0,95.0,3
4643,other,909.0,2.0,40.0,3
4644,other,1200.0,3.0,85.0,2
4658,other,1800.0,3.0,140.0,3
4670,other,1000.0,2.0,48.0,2
4689,other,3900.0,4.0,333.0,4
4690,other,2400.0,4.0,200.0,3
4701,other,1645.0,3.0,87.5,3
4713,other,1252.0,2.0,55.0,2
4716,other,2600.0,3.0,140.0,3
4722,other,950.0,2.0,60.0,2
4724,other,2107.0,4.0,95.0,4
4727,other,1450.0,3.0,68.0,3
4729,other,2431.0,3.0,100.0,3
4744,other,600.0,3.0,54.0,3
4745,other,1155.0,2.0,56.0,2
4765,other,1450.0,2.0,62.63,2
4777,other,1365.0,3.0,60.0,2
4788,other,1402.0,2.0,85.0,3
4814,other,1550.0,3.0,75.0,3
4842,other,5000.0,4.0,290.0,4
4852,other,2000.0,3.0,85.0,3
4858,other,1100.0,2.0,45.0,2
4868,other,814.0,2.0,55.0,2
4873,other,1100.0,2.0,44.0,2
4875,other,830.0,2.0,37.0,2
4877,other,1590.0,3.0,120.0,3
4897,other,1100.0,2.0,48.0,2
4898,other,1230.0,2.0,53.51,3
4905,other,1450.0,2.0,89.6,3
4907,other,1367.0,2.0,62.0,2
4919,other,1340.0,2.0,77.0,2
4931,other,1745.0,3.0,77.0,3
4933,other,1665.0,3.0,105.0,3
4934,other,1220.0,2.0,48.79,2
4937,other,2300.0,4.0,200.0,4
4938,other,1210.0,2.0,76.0,2
4947,other,1100.0,2.0,46.0,2
4959,other,1286.0,3.0,67.0,3
4966,other,1140.0,2.0,45.0,2
4969,other,1065.0,2.0,58.0,2
5000,other,1082.0,2.0,42.0,3
5006,other,1636.0,3.0,97.0,3
5045,other,1120.0,2.0,40.0,2
5049,other,1200.0,3.0,72.0,3
5053,other,1500.0,2.0,65.0,3
5068,other,1100.0,2.0,47.0,2
5069,other,1000.0,1.0,75.0,2
5078,other,1388.0,3.0,69.99,3
5080,other,1176.0,2.0,44.0,2
5088,other,1170.0,2.0,86.0,2
5094,other,4830.0,5.0,390.0,4
5095,other,850.0,2.0,75.0,2
5099,other,1103.0,2.0,55.0,2
5102,other,1600.0,3.0,64.0,3
5105,other,1100.0,2.0,55.0,2
5109,other,2065.0,3.0,130.0,3
5119,other,1250.0,2.0,59.0,2
5120,other,1115.0,2.0,46.0,2
5143,other,3080.0,2.0,285.0,4
5153,other,1130.0,2.0,52.0,2
5169,other,450.0,1.0,25.0,1
5178,other,1100.0,2.0,85.0,2
5187,other,966.0,2.0,49.0,2
5190,other,4400.0,4.0,350.0,5
5197,other,900.0,4.0,75.0,4
5200,other,1550.0,2.0,79.0,3
5203,other,1540.0,2.0,70.0,3
5204,other,1200.0,7.0,100.0,8
5214,other,1070.0,2.0,38.9,2
5238,other,1150.0,2.0,60.0,3
5240,other,1508.0,3.0,75.0,3
5244,other,1110.0,2.0,58.0,2
5253,other,1950.0,3.0,90.0,3
5254,other,1080.0,2.0,62.0,2
5256,other,999.0,2.0,43.66,2
5269,other,1127.0,2.0,55.0,2
5274,other,1200.0,3.0,96.25,3
5279,other,1250.0,2.0,65.0,3
5294,other,2631.0,3.0,200.0,4
5298,other,830.0,2.0,60.0,2
5302,other,1500.0,2.0,88.0,2
5310,other,1518.0,3.0,76.0,3
5311,other,1495.0,2.0,75.0,3
5321,other,856.0,2.0,48.0,2
5322,other,1143.0,2.0,62.0,2
5338,other,600.0,1.0,43.0,1
5343,other,7500.0,4.0,425.0,4
5346,other,925.0,2.0,48.0,2
5352,other,1100.0,2.0,52.0,2
5359,other,1200.0,3.0,70.0,3
5364,other,1016.0,2.0,45.9,2
5370,other,1800.0,3.0,88.0,3
5373,other,1062.0,2.0,47.0,2
5387,other,1477.0,2.0,80.0,3
5405,other,1793.0,3.0,98.0,3
5420,other,620.0,2.0,23.0,2
5428,other,1020.0,2.0,62.0,2
5430,other,3563.0,6.0,310.0,4
5431,other,1165.0,2.0,47.0,2
5436,other,1100.0,2.0,43.5,2
5462,other,1440.0,4.0,88.0,4
5467,other,2250.0,3.0,113.0,3
5490,other,1200.0,2.0,75.0,3
5491,other,985.0,2.0,55.0,2
5496,other,1700.0,2.0,68.5,3
5499,other,2000.0,4.0,99.0,5
5500,other,1643.0,3.0,75.0,3
5523,other,1030.0,2.0,80.0,2
5524,other,1852.0,2.0,95.0,3
5531,other,1150.0,2.0,69.0,2
5538,other,2600.0,3.0,95.0,4
5541,other,1350.0,2.0,68.0,3
5546,other,1500.0,2.0,90.0,3
5547,other,900.0,2.0,55.0,2
5553,other,850.0,2.0,35.0,2
5570,other,1250.0,2.0,60.0,2
5581,other,970.0,2.0,35.0,2
5585,other,1148.0,2.0,59.0,2
5593,other,1350.0,3.0,60.0,3
5597,other,1100.0,2.0,78.0,2
5602,other,1180.0,2.0,74.0,2
5607,other,4510.0,4.0,200.0,3
5610,other,1540.0,3.0,85.0,3
5638,other,2000.0,3.0,120.0,3
5648,other,2000.0,3.0,145.0,3
5660,other,850.0,2.0,42.0,2
5670,other,2230.0,4.0,130.0,4
5671,other,2200.0,5.0,100.0,4
5676,other,1519.0,3.0,67.23,3
5706,other,3160.0,4.0,206.0,4
5730,other,922.0,2.0,70.0,2
5731,other,850.0,2.0,72.0,2
5739,other,1200.0,1.0,65.0,2
5750,other,1442.0,3.0,56.24,3
5753,other,1233.0,2.0,100.0,2
5765,other,1840.0,3.0,85.0,3
5767,other,1100.0,2.0,57.0,2
5775,other,1040.0,2.0,46.79,2
5780,other,1200.0,2.0,53.0,2
5781,other,2050.0,3.0,100.0,4
5788,other,800.0,2.0,30.0,2
5796,other,1936.0,3.0,110.0,3
5811,other,1652.5,3.0,90.0,3
5835,other,2159.0,3.0,110.0,3
5841,other,906.0,3.0,55.0,4
5856,other,1500.0,3.0,138.0,3
5857,other,700.0,2.0,43.0,2
5874,other,1365.0,3.0,99.0,3
5884,other,1800.0,3.0,105.0,6
5885,other,850.0,2.0,35.0,2
5892,other,708.0,1.0,55.0,2
5894,other,1680.0,3.0,135.0,3
5895,other,990.0,2.0,58.0,2
5899,other,1240.0,2.0,100.0,2
5900,other,1810.0,3.0,118.0,3
5905,other,1265.0,2.0,58.0,2
5907,other,1035.0,2.0,44.0,2
5912,other,2800.0,4.0,100.0,6
5914,other,1430.0,3.0,78.65,3
5919,other,600.0,2.0,30.0,2
5922,other,1200.0,2.0,45.0,1
5926,other,1090.0,2.0,45.0,2
5935,other,1260.0,4.0,65.0,4
5956,other,1000.0,2.0,36.0,2
5967,other,840.0,1.0,75.0,1
5979,other,1760.0,2.0,116.0,3
5985,other,3317.5,5.0,268.5,4
5996,other,600.0,1.0,52.0,2
6002,other,1410.0,2.0,75.0,2
6010,other,2400.0,5.0,93.0,5
6019,other,1200.0,2.0,75.6,3
6037,other,2100.0,4.0,150.0,4
6050,other,1200.0,2.0,52.5,2
6060,other,1539.0,3.0,60.0,3
6064,other,920.0,2.0,46.0,2
6071,other,1550.0,4.0,120.0,4
6088,other,905.0,2.0,50.0,2
6099,other,1455.0,2.0,55.0,3
6100,other,550.0,1.0,23.0,1
6104,other,1060.0,2.0,53.0,2
6105,other,1080.0,2.0,75.0,3
6113,other,1570.0,3.0,78.0,3
6116,other,1537.0,3.0,110.0,3
6120,other,1750.0,3.0,150.0,3
6126,other,2800.0,7.0,250.0,7
6127,other,1020.0,2.0,48.0,2
6135,other,1191.0,2.0,90.0,2
6138,other,865.0,2.0,35.11,2
6147,other,2100.0,4.0,90.0,4
6151,other,2849.0,5.0,250.0,4
6152,other,1000.0,2.0,42.0,2
6157,other,1225.0,2.0,47.0,2
6171,other,830.0,2.0,40.0,2
6175,other,1685.0,3.0,60.0,3
6178,other,827.0,2.0,45.0,2
6183,other,1050.0,2.0,50.0,2
6196,other,1060.0,2.0,49.27,2
6200,other,1261.0,2.0,61.0,2
6201,other,1100.0,2.0,46.0,2
6204,other,3400.0,4.0,190.0,4
6206,other,1180.0,2.0,56.0,2
6219,other,1205.0,2.0,70.0,2
6231,other,1200.0,5.0,99.0,5
6236,other,1250.0,2.0,58.0,2
6238,other,1424.0,2.0,55.0,3
6249,other,1250.0,3.0,55.0,3
6250,other,2200.0,4.0,160.0,3
6257,other,1230.0,2.0,55.0,2
6261,other,1540.0,3.0,76.0,3
6265,other,1900.0,3.0,155.0,3
6272,other,1200.0,1.0,95.0,2
6281,other,1100.0,2.0,61.0,2
6283,other,1050.0,4.0,80.0,5
6289,other,1942.0,3.0,155.0,3
6292,other,1200.0,4.0,80.0,3
6308,other,1400.0,2.0,60.0,2
6310,other,1330.0,2.0,64.0,2
6314,other,1515.0,3.0,90.0,3
6326,other,1464.0,3.0,56.0,3
6344,other,1206.0,2.0,53.0,2
6354,other,1200.0,4.0,95.0,4
6362,other,1250.0,2.0,58.0,2
6365,other,625.0,2.0,24.0,2
6371,other,1464.0,2.0,56.0,2
6376,other,1300.0,3.0,64.0,3
6377,other,1200.0,1.0,69.0,1
6387,other,1717.0,3.0,99.0,3
6388,other,2099.0,3.0,95.0,3
6390,other,1200.0,1.0,48.0,1
6408,other,900.0,3.0,51.0,4
6411,other,1430.0,2.0,78.65,3
6413,other,2108.0,3.0,85.0,3
6417,other,1190.0,2.0,70.0,2
6418,other,900.0,2.0,41.0,2
6419,other,2690.0,4.0,185.0,4
6440,other,1594.0,3.0,99.0,3
6441,other,1250.0,2.0,68.0,2
6444,other,1290.0,1.0,77.5,2
6445,other,1150.0,2.0,48.0,2
6450,other,1200.0,2.0,75.0,2
6452,other,1065.0,2.0,45.0,2
6458,other,1050.0,4.0,90.0,4
6463,other,750.0,2.0,36.0,2
6485,other,2070.0,3.0,135.0,3
6491,other,1600.0,2.0,75.0,3
6498,other,800.0,2.0,55.0,2
6500,other,900.0,1.0,44.0,2
6502,other,1480.0,2.0,125.0,3
6524,other,1500.0,2.0,130.0,2
6534,other,2010.0,3.0,125.0,3
6542,other,1504.0,2.0,100.0,3
6565,other,1500.0,3.0,72.0,3
6570,other,1280.0,2.0,48.0,3
6575,other,900.0,2.0,45.0,2
6589,other,1145.0,2.0,58.4,2
6590,other,1862.0,3.0,120.0,3
6595,other,2700.0,3.0,200.0,3
6599,other,1677.0,3.0,98.0,3
6600,other,2500.0,8.0,95.0,8
6606,other,1200.0,7.0,95.0,9
6609,other,1490.0,2.0,115.0,3
6619,other,1550.0,3.0,59.0,3
6624,other,1740.0,3.0,120.0,3
6627,other,1020.0,2.0,60.0,2
6642,other,1492.0,2.0,65.0,2
6647,other,1431.0,3.0,65.0,3
6650,other,3664.0,3.0,325.0,3
6654,other,690.0,2.0,42.0,2
6670,other,1520.0,3.0,111.0,3
6672,other,1391.0,2.0,64.5,3
6674,other,1200.0,4.0,86.0,4
6683,other,1250.0,2.0,90.0,2
6689,other,1464.0,3.0,56.0,3
6690,other,900.0,2.0,33.0,2
6701,other,1230.0,2.0,70.0,2
6711,other,1600.0,3.0,95.0,3
6717,other,600.0,2.0,23.0,1
6726,other,596.0,2.0,22.0,2
6727,other,3463.0,6.0,310.0,4
6732,other,1200.0,2.0,85.0,2
6746,other,1200.0,2.0,45.0,2
6756,other,2000.0,4.0,130.0,3
6764,other,850.0,6.0,78.0,6
6773,other,1000.0,2.0,44.0,2
6779,other,1175.0,2.0,79.0,2
6783,other,1200.0,2.0,43.0,2
6793,other,1112.0,2.0,68.0,2
6810,other,1107.0,2.0,40.0,2
6811,other,1158.0,2.0,75.0,2
6815,other,3200.0,4.0,200.0,4
6822,other,1200.0,2.0,90.0,2
6826,other,1266.67,2.0,69.0,2
6827,other,1800.0,3.0,90.0,3
6830,other,800.0,3.0,60.0,3
6834,other,2000.0,2.0,160.0,2
6839,other,1464.0,3.0,56.0,3
6847,other,1800.0,3.0,95.0,3
6850,other,1410.0,3.0,65.0,3
6856,other,1230.0,2.0,75.0,2
6861,other,1080.0,2.0,44.8,2
6862,other,3150.0,5.0,145.0,8
6863,other,2400.0,2.0,135.0,2
6881,other,880.0,2.0,48.0,2
6890,other,1150.0,2.0,45.0,2
6891,other,1194.0,2.0,55.0,2
6892,other,2000.0,3.0,90.0,3
6894,other,1025.0,2.0,42.5,2
6898,other,1022.0,2.0,57.0,2
6899,other,882.0,3.0,72.0,4
6906,other,1200.0,2.0,76.0,2
6907,other,1200.0,1.0,54.0,2
6915,other,950.0,2.0,38.0,2
6927,other,1605.0,3.0,100.0,3
6939,other,1542.0,3.0,98.0,3
6941,other,1012.0,2.0,42.0,2
6958,other,1333.0,2.0,77.27,2
6968,other,1050.0,2.0,70.0,2
6992,other,2000.0,3.0,105.0,3
6994,other,1075.0,2.0,55.0,2
7003,other,1200.0,5.0,80.0,7
7006,other,1069.0,2.0,55.0,2
7007,other,1200.0,3.0,99.0,3
7012,other,1007.0,2.0,43.0,2
7025,other,1000.0,2.0,60.0,2
7026,other,5720.0,3.0,350.0,3
7033,other,1012.0,2.0,59.0,2
7043,other,1280.0,2.0,49.0,3
7046,other,925.0,2.0,35.0,2
7055,other,600.0,2.0,39.0,2
7063,other,1240.0,2.0,65.0,3
7065,other,1100.0,2.0,55.0,2
7067,other,1700.0,3.0,111.0,3
7073,other,1340.0,2.0,65.0,2
7074,other,1200.0,2.0,54.0,2
7080,other,1780.0,3.0,110.0,3
7089,other,1800.0,4.0,68.0,5
7095,other,900.0,2.0,65.0,3
7096,other,946.0,2.0,45.0,2
7105,other,1540.0,3.0,85.0,3
7113,other,2456.0,3.0,220.0,3
7116,other,1610.0,2.0,64.4,3
7125,other,1439.0,3.0,57.23,3
7141,other,1435.0,2.0,60.0,3
7145,other,1717.0,3.0,120.0,3
7149,other,1409.0,2.0,62.0,3
7156,other,1250.0,2.0,50.0,2
7162,other,1225.0,2.0,65.0,2
7166,other,1750.0,3.0,75.0,3
7170,other,1504.0,2.0,102.0,3
7171,other,1116.0,2.0,49.8,2
7178,other,1800.0,4.0,145.0,4
7189,other,3000.0,4.0,240.0,4
7195,other,1150.0,2.0,60.0,2
7200,other,1625.0,3.0,92.0,3
7209,other,1180.0,2.0,50.0,2
7212,other,1272.0,2.0,51.5,2
7213,other,1490.0,2.0,92.0,3
7215,other,2400.0,5.0,140.0,4
7219,other,1044.0,2.0,60.0,2
7225,other,1595.0,3.0,70.39,3
7230,other,1640.0,3.0,84.0,3
7235,other,1200.0,2.0,54.0,2
7243,other,959.0,2.0,42.5,2
7257,other,1141.0,2.0,55.0,2
7263,other,1200.0,2.0,43.2,2
7264,other,1240.0,2.0,65.0,3
7266,other,1293.0,2.0,75.0,2
7270,other,1885.0,3.0,90.0,3
7271,other,860.0,2.0,65.5,2
7296,other,1374.0,2.0,88.0,3
7307,other,1250.0,2.0,60.0,2
7312,other,1110.0,2.0,52.0,2
7316,other,1350.0,3.0,48.6,3
7323,other,2000.0,2.0,160.0,4
7328,other,834.0,1.0,62.0,1
7335,other,600.0,1.0,52.0,1
7349,other,800.0,2.0,52.0,3
7354,other,2000.0,4.0,135.0,4
7365,other,900.0,2.0,35.0,2
7368,other,1000.0,2.0,46.0,2
7375,other,1200.0,2.0,52.0,2
7382,other,1280.0,2.0,90.0,2
7384,other,1190.0,2.0,55.0,2
7386,other,2075.0,3.0,175.0,3
7400,other,1578.0,3.0,73.9,3
7403,other,1050.0,4.0,90.0,4
7413,other,1475.0,2.0,70.0,2
7419,other,2400.0,2.0,125.0,2
7426,other,1427.0,2.0,70.0,3
7438,other,1350.0,3.0,68.0,3
7442,other,2274.24,4.0,160.0,3
7445,other,1455.0,2.0,55.0,3
7465,other,1570.0,3.0,80.0,3
7466,other,1495.0,2.0,65.0,3
7480,other,1350.0,3.0,75.0,3
7481,other,1464.0,3.0,56.0,3
7484,other,2300.0,7.0,160.0,6
7497,other,2515.0,4.0,155.0,3
7499,other,1440.0,3.0,72.0,3
7512,other,1200.0,2.0,56.0,2
7522,other,1670.0,3.0,75.0,3
7531,other,700.0,2.0,29.0,2
7545,other,1300.0,2.0,67.0,3
7554,other,1200.0,4.0,100.0,6
7556,other,1200.0,6.0,86.0,5
7566,other,1200.0,2.0,54.0,2
7571,other,1215.0,2.0,49.75,3
7575,other,1050.0,2.0,55.0,2
7586,other,1258.0,2.0,58.0,2
7596,other,3000.0,4.0,130.0,8
7619,other,3200.0,3.0,260.0,3
7626,other,1450.0,3.0,90.0,3
7647,other,1893.0,3.0,115.0,3
7665,other,2400.0,6.0,98.0,6
7678,other,1200.0,2.0,100.0,3
7698,other,1205.0,2.0,70.0,2
7699,other,1500.0,3.0,90.0,3
7704,other,1200.0,4.0,90.0,6
7715,other,1250.0,2.0,67.0,2
7724,other,375.0,1.0,26.0,1
7730,other,800.0,3.0,59.5,2
7731,other,1200.0,3.0,95.0,5
7734,other,909.0,2.0,43.0,3
7736,other,1400.0,2.0,85.0,2
7744,other,1800.0,2.0,100.0,3
7748,other,925.0,2.0,70.0,2
7753,other,750.0,2.0,42.0,4
7757,other,850.0,1.0,35.5,2
7775,other,1200.0,2.0,55.0,2
7781,other,1480.0,3.0,74.0,3
7800,other,400.0,1.0,35.0,1
7805,other,1310.0,2.0,55.0,3
7817,other,993.0,2.0,45.5,2
7820,other,2400.0,5.0,180.0,4
7824,other,6000.0,1.0,276.0,1
7826,other,825.0,2.0,40.0,1
7840,other,1320.0,2.0,60.0,3
7868,other,1050.0,2.0,50.0,2
7869,other,4800.0,5.0,420.0,4
7872,other,600.0,1.0,33.0,1
7873,other,1569.0,3.0,70.0,3
7874,other,2600.0,3.0,147.0,3
7884,other,800.0,1.0,72.0,1
7889,other,1020.0,2.0,49.0,2
7890,other,1225.0,2.0,82.0,3
7908,other,655.0,1.0,27.0,1
7912,other,1196.0,2.0,96.0,2
7915,other,927.0,2.0,50.0,2
7928,other,1175.0,2.0,48.72,2
7934,other,2800.0,4.0,200.0,4
7939,other,750.0,2.0,28.0,2
7941,other,1000.0,2.0,45.0,2
7975,other,985.0,2.0,57.0,2
7980,other,3600.0,7.0,160.0,7
7988,other,1503.0,2.0,93.0,3
7992,other,1200.0,2.0,61.0,2
8009,other,1765.0,3.0,77.27,3
8014,other,1768.0,3.0,95.0,3
8027,other,800.0,1.0,32.0,1
8030,other,3000.0,6.0,145.0,7
8051,other,600.0,1.0,35.0,1
8058,other,1010.0,2.0,55.0,2
8071,other,1000.0,4.0,90.0,5
8096,other,1800.0,3.0,85.0,3
8098,other,2008.0,3.0,170.0,3
8101,other,2095.0,3.0,142.0,3
8117,other,1190.0,2.0,48.6,2
8125,other,1600.0,2.0,88.0,3
8162,other,500.0,1.0,20.0,1
8163,other,1280.0,2.0,100.0,3
8177,other,1650.0,3.0,110.0,3
8181,other,1500.0,2.0,75.0,3
8183,other,1176.0,2.0,45.0,3
8186,other,1044.0,2.0,85.0,2
8189,other,1425.0,3.0,55.0,3
8206,other,2000.0,2.0,95.0,3
8218,other,1320.0,2.0,55.0,3
8230,other,1322.0,2.0,61.99,2
8231,other,1450.0,2.0,65.0,3
8243,other,820.0,2.0,30.0,2
8248,other,1450.0,3.0,68.0,3
8265,other,900.0,1.0,70.0,2
8266,other,1517.0,2.0,125.0,2
8288,other,400.0,2.0,35.0,4
8301,other,3602.0,4.0,280.0,4
8305,other,2159.0,3.0,120.0,3
8310,other,1200.0,3.0,72.0,3
8316,other,510.0,1.0,34.0,1
8319,other,1166.0,2.0,65.0,2
8324,other,2100.0,6.0,100.0,4
8334,other,940.0,2.0,56.0,2
8335,other,1015.0,2.0,40.1,2
8342,other,1400.0,3.0,69.0,3
8347,other,1645.0,3.0,95.0,3
8362,other,1600.0,4.0,90.0,4
8364,other,1000.0,2.0,63.0,2
8372,other,1350.0,2.0,65.0,2
8374,other,1998.0,3.0,117.0,3
8378,other,1300.0,2.0,60.0,2
8403,other,1804.0,3.0,150.0,3
8404,other,1350.0,3.0,81.0,3
8406,other,826.0,2.0,36.0,2
8416,other,935.0,2.0,35.0,2
8428,other,2200.0,3.0,115.0,4
8455,other,1200.0,4.0,110.0,4
8462,other,2400.0,4.0,170.0,6
8470,other,600.0,1.0,45.0,1
8480,other,672.0,1.0,27.0,1
8481,other,1280.0,3.0,87.0,3
8488,other,1850.0,3.0,95.0,3
8492,other,1567.0,3.0,100.0,3
8497,other,2350.0,3.0,210.0,3
8501,other,1125.0,2.0,48.0,2
8512,other,1365.0,3.0,54.0,3
8521,other,1471.0,2.0,75.0,3
8533,other,520.0,2.0,29.0,1
8542,other,1300.0,2.0,60.0,2
8562,other,1477.0,2.0,75.0,3
8563,other,1050.0,3.0,85.0,4
8565,other,2000.0,2.0,120.0,2
8566,other,1220.0,2.0,65.0,2
8574,other,850.0,2.0,32.5,2
8588,other,1256.0,2.0,65.0,2
8605,other,1428.0,2.0,70.0,3
8606,other,1130.0,2.0,74.0,2
8609,other,1407.0,2.0,83.87,2
8613,other,900.0,2.0,45.0,2
8617,other,1200.0,2.0,67.0,2
8629,other,1872.0,3.0,152.0,3
8633,other,1200.0,5.0,90.0,5
8635,other,1400.0,3.0,90.0,3
8657,other,600.0,2.0,35.0,1
8659,other,700.0,2.0,35.0,2
8662,other,1105.0,2.0,50.0,2
8666,other,1000.0,2.0,51.0,2
8668,other,1240.0,2.0,63.0,3
8671,other,1393.0,3.0,54.0,3
8674,other,1640.0,3.0,70.0,3
8675,other,1200.0,2.0,62.0,2
8687,other,1495.0,3.0,55.0,3
8689,other,1400.0,3.0,53.0,3
8693,other,1054.0,2.0,53.0,2
8696,other,1275.0,2.0,47.0,2
8699,other,1394.0,2.0,52.0,2
8702,other,1075.0,2.0,57.0,2
8707,other,1800.0,4.0,115.0,3
8710,other,1220.0,2.0,54.89,2
8716,other,1499.0,3.0,89.0,3
8717,other,1280.0,2.0,55.0,3
8722,other,1050.0,2.0,65.0,2
8726,other,905.0,2.0,50.0,2
8730,other,2736.0,4.0,130.0,4
8732,other,1056.0,2.0,55.0,2
8739,other,1770.0,3.0,90.0,3
8750,other,1152.0,2.0,57.0,2
8766,other,1350.0,2.0,65.0,3
8780,other,1464.0,2.0,135.0,3
8792,other,1200.0,2.0,75.0,2
8800,other,565.0,1.0,33.0,1
8816,other,1000.0,2.0,55.0,2
8820,other,1045.0,2.0,42.0,2
8821,other,1250.0,2.0,62.4,2
8822,other,2400.0,4.0,130.0,3
8825,other,1720.0,3.0,83.0,3
8837,other,1100.0,2.0,70.0,2
8845,other,420.0,1.0,23.5,1
8853,other,1675.0,3.0,65.0,3
8857,other,1225.0,2.0,71.05,2
8861,other,1350.0,4.0,90.0,4
8873,other,1732.5,3.0,91.855,3
8878,other,3760.0,2.0,280.0,2
8887,other,850.0,2.0,34.0,2
8894,other,1260.0,2.0,49.0,3
8898,other,1450.0,3.0,65.0,3
8917,other,1620.0,3.0,95.0,3
8919,other,560.0,1.0,21.0,1
8920,other,1156.0,2.0,46.0,2
8937,other,1140.0,2.0,56.0,2
8944,other,2250.0,3.0,180.0,3
8946,other,1485.0,3.0,78.0,3
8949,other,1209.0,2.0,100.0,2
8953,other,1500.0,3.0,95.0,3
8969,other,1000.0,2.0,60.0,2
8971,other,1488.0,2.0,65.0,3
8984,other,2250.0,3.0,199.0,3
8985,other,3700.0,4.0,314.0,4
8988,other,1190.0,2.0,42.25,2
8998,other,4800.0,6.0,420.0,4
9005,other,1050.0,2.0,43.5,2
